base	energy
aa	0.519160
ac	0.290799
ag	1.004970
at	0.335300
ca	0.363189
cc	-0.101020
cg	0.855090
ct	0.089940
ga	-0.094420
gc	-0.360311
gg	0.312849
gt	-0.319960
ta	0.500549
tc	0.187700
tg	0.821160
tt	0.406059
aa	0.667530
ac	0.468938
ag	1.031640
at	0.896628
ca	0.300561
cc	-0.399240
cg	0.651522
ct	0.192740
ga	0.100440
gc	-0.250592
gg	0.428570
gt	0.184240
ta	0.383371
tc	-0.055280
tg	0.314182
tt	0.619610
0	0.356254
1	0.573000
2	0.782522
3	0.974668
4	1.115001
5	1.254004
6	1.342947
7	1.405004
8	1.445004
9	1.479004
10	1.488004
11	1.459004
12	1.430003
13	1.322248
14	1.224003
15	1.138000
16	1.012000
17	0.872985
18	0.748176
19	0.613231
20	0.450890
21	0.321646
22	0.193946
23	0.078588
0	-0.032000
1	-0.066000
2	-0.083000
3	-0.093000
4	0.004000
5	0.025000
6	0.135682
7	0.279776
8	0.441791
9	0.627443
10	0.790720
11	0.997795
12	1.243843
13	1.531683
14	1.747971
15	1.922065
16	2.069120
17	2.101923
18	2.077634
19	1.943917
20	1.686972
21	1.300005
22	0.873124
23	0.410697
 8.539874
 5.260982
